Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Factor5 Loading,Communalities,Uniqueness,Factor
ISO14001 Certification,0.06216493628424839,0.32663883142707856,0.7954244239394671,0.13678904895945362,-0.00913054894816907,0.7620520305380319,0.23794796946196806,Factor 3
Certified Environmental Management System,0.16361817968490425,0.18860201447795985,0.9042003517521577,0.05270974697875564,0.1223541627312503,0.8976687632615017,0.10233123673849831,Factor 3
Internal Environmental Management Procedures,0.14797792044835567,0.4139172044564415,0.6203511898641046,0.10826000776963618,0.3392251336070503,0.7048544364040686,0.29514556359593136,Factor 3
