Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Factor5 Loading,Communalities,Uniqueness,Factor
Ensuring Supplier Child Labor Law Compliance,0.31857554021245493,0.20027744680514545,0.15705284689165913,0.7403879951210335,0.08741244439293312,0.7220823459913115,0.2779176540086885,Factor 4
Asking Suppliers for Living Wage,0.4385067694701029,0.038169644287898534,0.07094577267349458,0.6508079159610861,0.14565801258260005,0.6435456113835348,0.35645438861646517,Factor 4
