Category,Frequency,Percentage,Mean of Performance
High JIT & Environmental,57,32.57142857142858,3.913255360623782
Mainly Environmental,38,21.714285714285715,3.7792397660818713
Mainly JIT,40,22.857142857142858,3.5791666666666666
Low JIT & Environmental,40,22.857142857142858,3.2824074074074074
