Category,Frequency,Percentage,Mean of Performance
High JIT & Environmental,67,38.285714285714285,3.873134328358209
Mainly Environmental,50,28.57142857142857,3.6803703703703707
Mainly JIT,20,11.428571428571429,3.6166666666666663
Low JIT & Environmental,38,21.714285714285715,3.296783625730994
