Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Communalities,Uniqueness,descriptive_name
EPRACX01,0.48084238714516353,-0.09340774283830032,0.10545499417699224,0.032995907839954174,0.25214389342865756,0.7478561065713425,Certified Environmental Management System
EPRACX02,0.6719730116496776,-0.08955175823526104,0.010334794569983442,0.09736755941342623,0.46915449539349524,0.5308455046065048,Internal Environmental Management Procedures
EPRACX03,0.6016761059514879,0.07227976016988995,-0.06064660536634591,0.17801221592813038,0.4026048599652675,0.5973951400347325,Cleaner Production Technologies
EPRACX04,0.4442303538198118,0.35427855087413457,0.005665726562027276,0.06468661152946427,0.32707035703299137,0.6729296429670086,Environment-Friendly Product Design
EPRACX05,0.41575493217852333,0.29770786671510624,0.08134995586383983,0.043854082130721145,0.2700231333734047,0.7299768666265953,Environmental Improvement of Packaging
EPRACX06,0.3131736548168315,0.428277935795789,0.09059265151146248,0.03310290580244521,0.2908025592412768,0.7091974407587232,Environment-Friendly Raw Materials
EPERFX01,0.2470290896200534,0.0861593549729565,-0.057821527904207984,0.5844498277121861,0.4133717357698494,0.5866282642301506,Overall Environmental Performance
EPERFX02,-0.056579308663081924,0.332993183502767,0.0027048162307983163,0.6086025428553462,0.48449004962893566,0.5155099503710643,Raw Materials Consumption
EPERFX03,-0.0680600195106396,0.18844731397091766,-0.033892279007272944,0.7849877120262404,0.6574989510071408,0.34250104899285916,Energy Consumption
EPERFX04,-0.07444836684505052,0.10251279347948504,-0.026972378439670264,0.8103101878456456,0.6733815418780009,0.3266184581219991,Water Consumption
EPERFX05,0.01706917276310149,0.031676181305720905,-0.045847658861777274,0.804205440781704,0.6501431359269302,0.3498568640730698,Emissions to Air
EPERFX06,-0.07345945049152283,-0.09743036439562668,-0.0242004606098217,0.8123626067653705,0.6754076339371367,0.32459236606286335,Releases to Water
EPERFX07,-0.019646323385706065,0.13823493869573902,0.10056351915760002,0.6070162089776254,0.3980765756457197,0.6019234243542804,Solid Waste Generation
EPERFX08,0.1875947081363531,0.007290042609063039,0.07590075016913059,0.4856843345372074,0.27689511593309224,0.7231048840669078,Waste Recovery
EPERFX09,0.08730404462665659,-0.08903710623124293,0.005178454449437944,0.5438011978605275,0.31129616167923635,0.6887038383207637,Fines or Violations
LAYOUTN01,0.17235624284410492,-0.19780880106318435,0.591346532605515,0.055995717479099864,0.4216612382259551,0.578338761774045,Equipment Layout - Proximity
LAYOUTN02,0.1628430231232156,-0.058368104149184225,0.5045466064710702,0.03926688380108596,0.28603385202679904,0.7139661479732009,Equipment Layout - Low Inventories
LAYOUTN03,0.08041758816218104,0.04149081746618798,0.48054897125990353,0.006363585702333293,0.23915628542177722,0.7608437145782228,Equipment Layout - Minimized Handling
LAYOUTN04,0.13787082389351396,-0.03540504261076367,0.5793538142423952,-0.006561505528898447,0.3559557765553638,0.6440442234446362,Equipment Layout - JIT Production
JITDELN01,-0.056631683051214854,0.123280720141752,0.4967709852116421,0.11754541185875947,0.27900361908107313,0.7209963809189268,JIT Delivery by Suppliers - Timely Delivery
JITDELN02,-0.1746406682382387,0.19141536090347436,0.2308219086874123,0.2248046005350591,0.17095506534433352,0.8290449346556665,JIT Delivery by Suppliers - Daily Shipments
JITDELN03,-0.22722230853224828,0.2415352517515363,0.4358242124472681,0.09999344386746657,0.30991068830515994,0.6900893116948401,JIT Delivery by Suppliers - Pull System
KANBANN01,-0.07778510766137627,0.11475890688712358,0.23761398468136627,-0.034707194116915197,0.07688512472344519,0.9231148752765548,Kanban - Supplier Containers
KANBANN02,0.051784775624744296,-0.04955250566354029,0.48139479665426455,-0.12535067531379196,0.25259085585146474,0.7474091441485353,Kanban - Production Control Pull System
KANBANN03,0.05941491326994905,-0.03307664117224714,0.4844756264525321,-0.12888748867184896,0.2559528134728226,0.7440471865271774,Kanban - Production Control Signals
ACCTGX51,0.23427029340342598,-0.03277998585303765,0.25378609257789914,0.008079071243831315,0.12042975002197355,0.8795702499780265,Employees
LINKCN01,0.0975063341624645,-0.0699159738896155,0.5923283679532001,0.03282473468949725,0.3663260872962731,0.633673912703727,Our customers receive just-in-time deliveries from us.
LINKCN02,0.1319034513743725,-0.23163176086367168,0.5489807521877702,0.006598805659006245,0.37247520363405195,0.627524796365948,We always deliver on time to our customers.
LINKCN03,-0.07472162276026907,-0.1350519624214937,0.6099561403506943,0.061312784621507514,0.3996281041713838,0.6003718958286162,We can adapt our production schedule to sudden production stoppages by our
LINKCN04,-0.03260175002304168,0.008464711410892533,0.5946198769023467,-0.07042290699209236,0.3596667092804135,0.6403332907195864,Our customers have a pull type link with us.
LINKCN05,-0.028307853329515117,0.05397015917391803,0.6234346782781394,-0.06615915779826442,0.39676194488172617,0.6032380551182739,Our customers are linked with us via JIT systems.
SCHEDN01,0.030733799108752013,-0.08409662278259847,0.6194733683593656,-0.0013427599694863974,0.39176586548192976,0.6082341345180702,We usually meet the production schedule each day.
SCHEDN02,-0.023261867806827662,-0.05638878016586455,0.6218719438489161,0.003863251007067894,0.3904604482772296,0.6095395517227704,We usually complete our daily schedule as planned.
SCHEDR03,0.14108874632357704,-0.2386500075671592,-0.1456394400485052,0.125473345803714,0.11381426745578435,0.8861857325442156,"We build extra slack into our daily schedule, to allow for catching up."
SETUPN01,0.13125179922287972,-0.06199707942378351,0.5080762425059111,-0.03825048103715169,0.2806752401548209,0.7193247598451791,We are aggressively working to lower setup times in our plant.
SETUPN02,-0.17870638118551688,0.0815975222160161,0.48275616803559274,0.1630002487646419,0.2982167251819611,0.7017832748180389,We have low setup times of equipment in our plant.
SETUPN03,-0.009864574442585212,0.1466897145496171,0.5192939952832155,0.08167653188417376,0.2979524915814121,0.7020475084185879,"Our workers practice setups, in order to reduce the time required."
