Factor,Eigenvalue,Variance Explained %,Cumulative Variance Explained %
Factor 1,20.274239242855973,26.770974293096966,26.770974293096966
Factor 2,5.1977515937034395,6.296780175902132,33.0677544689991
Factor 3,3.6546828533387608,4.362066418830611,37.429820887829706
Factor 4,3.393517937393444,3.9456604752604028,41.37548136309011
Factor 5,2.746088824950652,3.0031277004151504,44.37860906350526
Factor 6,2.1842003935349714,2.4269749957417326,46.80558405924699
Factor 7,2.040140179471014,2.098922415567581,48.90450647481457
