Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Factor5 Loading,Factor6 Loading,Factor7 Loading,Communalities,Uniqueness,descriptive_name
COMPANY CODE,-0.15770038555006255,0.03191875969852567,0.23415822899169025,0.02779429707109653,0.0815148336206845,-0.011173855632836408,0.1430227737798311,0.10871585494711991,0.8912841450528801,
INDUSTRY,0.0759207181589324,0.14986316187042828,-0.2460230193756148,-0.19587662132537936,0.13415214339258927,0.13366891528130784,0.08288783729213595,0.16985246963638528,0.8301475303636148,
ENVRTX21,0.5994971421107957,-0.1502463408935538,-0.027821480855281626,0.11210962161399418,-0.20702374004010593,0.20501770459794263,-0.06102001626459749,0.4839279189300617,0.5160720810699383,Environmentally Preferable Packaging
ENVRTX37,0.06875594127161387,-0.03946445248772897,0.6092468706795399,-0.02438695930937936,-0.020146674237112857,0.005493871936211795,-0.07105701305181042,0.38354646590298413,0.6164535340970159,Third Party Monitoring of Supplier Working Conditions
ENVRTX02,0.6250765892730142,0.11009398926521104,0.10945586080354759,0.08673516966559007,-0.013467632917048757,-0.2666604849317034,-0.06792985891500569,0.49824866114328936,0.5017513388567106,Water Efficiency
ENVRTX22,0.6174824563152309,0.1317003247934409,-0.048963045876988125,0.06508008530767817,-0.20954757887483888,0.08381230319393293,-0.12450938255775058,0.47169963309688645,0.5283003669031135,Substituting Environmentally Preferable Direct Materials
ENVRTX39,0.6397121870263152,0.007274999564166483,0.0805475307733424,0.06691946077037929,-0.03775459592602309,0.010105913941205543,-0.11020038560571446,0.4339223907899032,0.5660776092100968,Environmental Design Specifications to Suppliers
ENVRTX23,0.7621972958599263,-0.07618199780832094,-0.2284338851582781,0.11880428428110754,0.06459572762950996,-0.1821226268091628,0.1242660299453862,0.7058282178805456,0.2941717821194544,Environmental Improvements for Scrap/Excess Material Disposition
ENVRTX18,0.574163511922284,-0.1267051569042969,0.2897067917436027,0.010780244181713427,0.15440743574708382,-0.04138390601170019,-0.07860181438712477,0.4614967031717849,0.5385032968282151,Customer Environmental Objectives Assistance
ENVRTX13,0.5510914679580078,-0.20738058352046093,0.18460097930594138,0.02372200415298764,0.15532197084224425,-0.10728662762392323,0.02457049114471527,0.4175878116474716,0.5824121883525284,Customer Supplier Code Compliance
ENVRTX33,0.16092939818366553,0.034749753781841274,0.6205006844491866,-0.07336777581465605,-0.10332098258029283,0.022715249153438696,0.003373834782142302,0.4287123372641512,0.5712876627358487,Formal M/WBE Supplier Purchase Program
ENVRTX03,0.6496651631635482,0.037284047547611505,-0.06433228144292406,0.1614125646860448,0.0615112165969759,-0.06173221132754611,-0.030182444257272453,0.46215305852800265,0.5378469414719973,Reducing Waste in Internal Processes
ENVRTX20,0.6156811605656013,-0.03103398810791439,0.19205493226379777,-0.03764237699805026,-0.0704379816192331,0.043059917848972236,0.02210408574873542,0.4256327018327423,0.5743672981672576,Life-cycle Analysis
ENVRTX38,0.6272356088436325,-0.030141023795453675,0.24342634660541346,-0.10830194952962276,0.013720319789120899,-0.04497214533174708,0.0806013680052193,0.4740260103656246,0.5259739896343754,Environmental Considerations in Supplier Evaluation/Selection
ENVRTX08,0.8813622526223215,-0.09181950871162323,-0.2454103839461028,-0.007646458747172464,-0.006657908561046217,-0.052744525927981664,0.07664045611147573,0.8542150396822324,0.14578496031776755,Decreasing Environmental Accident Impact
ENVRTX05,0.8847820720552138,-0.012573130276082098,-0.20457084089170482,0.03117756707845143,0.02682002162461021,-0.24181694712541651,0.07828778825948453,0.8911423955348903,0.10885760446510973,Pollution Prevention
ENVRTX30,0.4897197082734905,-0.04993722450860032,0.3764821876639009,-0.027295535648581278,0.06974204725700667,-0.04191103033481016,-0.13344996731291753,0.4092323843527773,0.5907676156472227,Preference to Third Party Certified Materials
ENVRTX24,0.6370481502223093,0.17010937683084984,0.05368671511356321,-0.014518559935173729,-0.07585840056279707,0.00895678104314632,0.07230873393110564,0.44892387161504216,0.5510761283849579,Environmental Improvements for Equipment Disposition
ENVRTX32,0.2238759268994518,0.06898125233477942,0.6337095952015919,-0.08508964665772767,-0.11666431972886589,0.06791119288950732,-0.10274457375775617,0.4924858838918035,0.5075141161081965,Purchasing from M/WBE Suppliers
ENVRTX34,0.26431345149770313,-0.04527304002061781,0.5536226272903038,-0.07206052236215883,0.007990142340216158,-0.07929297001377401,0.0654746425890376,0.39424012741664727,0.6057598725833527,Ensuring No Sweatshop Labor in Supplier Plants
ENVRTX04,0.5411621033009638,0.08058155097905989,-0.04778775952612537,-0.05405658025293071,0.013835115312291948,0.018108903508739668,0.1207315988062165,0.3196510539887807,0.6803489460112193,Improving Workforce Environment
ENVRTX29,0.535574129492774,-0.04041190744137858,0.4692016593227305,-0.04424388190498565,0.10572291003410822,-0.05559246984831817,-0.025776491621647295,0.5255127725724562,0.4744872274275438,Encouraging Supplier Environmental Improvement
ENVRTX41,0.4768048296669075,0.046827755505672655,0.3430269568347132,-0.20839912184955853,0.23071349812719133,0.07443059718950848,-0.07184349349701533,0.4545634909562671,0.545436509043733,Supplier Involvement in Internal Process Redesign
ENVRTX40,0.402763971897178,0.07236001495912103,0.40770823913640997,-0.16556822135647223,0.021922100248293587,0.1501572804105648,-0.00679550130913519,0.3841675991837685,0.6158324008162315,Co-development with Suppliers for Environmental Impact
ENVRTX09,0.5736320079417199,0.046254242406237926,0.19905613559473834,0.03258122083762002,0.07608485812291445,-0.045808650680830114,-0.0875795515189198,0.38743553250204243,0.6125644674979576,Land Consumption Reduction/Avoidance
ENVRTX17,0.13042503206310643,0.20590415702073012,0.4548282328939819,0.03617225340408325,-0.19089384905414716,0.08278191233264572,0.13204422149290332,0.3283133472666956,0.6716866527333044,Supply Chain Carbon Tracking
ENVRTX07,0.3728802346186807,0.18400513627485462,0.1919514271940642,-0.03928985594880844,-0.008448152690224513,0.023883947777602898,0.04255114047290251,0.2137390165279917,0.7862609834720082,Remediation Projects
ENVRTX11,0.45899337664145107,0.037685179745654676,0.24858726463807143,-0.05331696010111474,0.11288095373256136,0.14454512753177048,-0.1269905607579165,0.32649542507820417,0.6735045749217958,Outbound Transportation Improvements
ENVRTX10,0.4118482460772971,0.038337517634098046,0.3056868641802994,-0.015182029273511066,0.20030339809610884,0.09417795591911399,-0.13058372336463794,0.33080674347826033,0.6691932565217397,Inbound Transportation Improvements
ENVRTX01,0.42557893718555906,0.1535106989253474,-0.04087893273880121,0.04592231381286592,-0.11217139400653393,0.15182783962061658,0.1322351988290064,0.26158317483490906,0.7384168251650909,Energy Efficiency/Renewable Energy
ENVRTX14,0.8174507458906612,-0.14792965552140055,0.021494879693624482,-0.0689897274207957,0.20510823738862236,-0.11900139644126057,-0.009226965461950381,0.7516463755737914,0.24835362442620856,Industry-wide Code Compliance
ENVRTX15,0.7456166474254884,-0.17643423146079643,0.14370905451899169,-0.03410451696747098,0.1416779562950883,-0.23288899798111481,0.07440406986797969,0.6887345276710338,0.3112654723289662,Plant Compliance/Auditing Program
ENVRTX12,0.11959908835541247,-0.041411251493460276,0.09302182884450409,0.09406309546457924,-0.05614607097338148,0.0725381555682326,0.7730134799306793,0.639483765709183,0.36051623429081703,ISO14001 Certification
ENVRTX31,0.1204864346355339,0.03164614699359695,0.5933687972404847,0.13936568174179226,-0.20706056068380135,-0.11289524696353297,0.37663357840462786,0.5845000472962194,0.4154999527037806,Requesting Supplier Environmental Conduct Code
ENVRTX35,0.05081931354787414,-0.07973169079309689,0.8061777233280243,0.12230620640778066,-0.06455254963136943,-0.28811303715524966,0.22453814821176465,0.8114146087075234,0.18858539129247665,Ensuring Supplier Child Labor Law Compliance
ENVRTX36,-0.07855060232295913,0.12800376759019239,0.7685446247398011,0.08625118870803627,-0.0038697231055176006,-0.1701784429113422,0.10340462253707987,0.660323462563253,0.339676537436747,Asking Suppliers for Living Wage
ENVRTX06,0.4450848643035272,0.15321979554306164,-0.05083307960398645,-0.09239252762572435,0.0749504370604599,-0.05565328040101722,0.31045182907710256,0.337792417133709,0.662207582866291,Pollution Control
