Factor,Eigenvalue,Variance Explained %,Cumulative Variance Explained %
Factor 1,20.274239242855973,26.71394114157275,26.71394114157275
Factor 2,5.1977515937034395,6.223983746887097,32.93792488845985
Factor 3,3.6546828533387608,4.3255419516289155,37.26346684008876
Factor 4,3.393517937393444,3.8622683877663917,41.12573522785515
Factor 5,2.746088824950652,2.8987080681580695,44.024443296013224
