Bundle,Item description,Loading,SE,t-value,p-value,formatted_p_value,significance
JIT Practices,LAYOUTN04,0.9697242152610799,0.07224494874952211,13.422726876354721,0.0,0.00e+00,***
Environmental Performance,EPERFX01,0.9655905082234114,0.06232028228436385,15.494000874666737,0.0,0.00e+00,***
Environmental Performance,EPERFX02,0.94823765476981,0.06059556616790455,15.648630992939875,0.0,0.00e+00,***
Environmental Performance,EPERFX03,0.9869862863797422,0.06060804288452792,16.28474109055419,0.0,0.00e+00,***
Environmental Performance,EPERFX04,0.981973638861824,0.05987238710651822,16.40111053388947,0.0,0.00e+00,***
Environmental Performance,EPERFX05,0.986779458545185,0.06164191375365231,16.00825474836459,0.0,0.00e+00,***
Environmental Performance,EPERFX06,0.9714143696309092,0.06309126560885947,15.396970725762397,0.0,0.00e+00,***
Environmental Performance,EPERFX07,0.9472215146622841,0.06078330131600936,15.58358124935871,0.0,0.00e+00,***
Environmental Performance,EPERFX08,0.9213886587917985,0.06260742513227095,14.716923062163588,0.0,0.00e+00,***
Environmental Performance,EPERFX09,0.9820842416545025,0.07200300962297246,13.639488776885374,0.0,0.00e+00,***
