Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Factor5 Loading,Factor6 Loading,Factor7 Loading,Factor8 Loading,Communalities,Uniqueness,descriptive_name
COMPANY CODE,-0.02896225398390193,0.11010867074363025,0.000993721016629438,0.03175236231241118,0.10599656500983175,-0.016290116741636003,0.10121097383376816,0.48126054599455653,0.26732794557533274,0.7326720544246672,
INDUSTRY,0.09214884858302494,-0.18917105780574156,0.13386229952387824,-0.16552183668497106,0.10590162055398365,0.11563158708673346,0.09453443131862008,0.050525981552157054,0.12566914374460775,0.8743308562553922,
ENVRTX21,0.5386669404458351,0.14247436890486975,0.005016253692526099,0.14176870967644858,-0.14117859781944966,0.2077263001949129,-0.02353009184271309,-0.06812632633581886,0.3988610222056247,0.6011389777943753,"Environmentally preferable packaging for the products that you produce (recycled content, less volume, reusable packaging)"
ENVRTX37,0.1616613216007979,0.5846507126169863,0.0656478144462286,0.06038619687064278,0.04700172880463567,0.07411397225544526,-0.06463526981824376,0.06997488440570816,0.39268321292550784,0.6073167870744922,Using a third party to monitor working conditions at supplier facilities
ENVRTX02,0.5976182968190895,0.2083175281650332,0.18763626375975787,0.14395144483264977,0.026203708439824967,-0.18234192840987082,0.00037552949165149983,0.1239627717202245,0.505775330168057,0.494224669831943,Water efficiency
ENVRTX22,0.6065622701946438,0.13072105144141724,0.21921398187264482,0.0965145951254675,-0.14815078913612986,0.12522519427837986,-0.06713879073927578,0.05595801355874401,0.4876445399414117,0.5123554600585882,Substituting environmental preferable direct materials or supplies for harmful or non-renewable ones
ENVRTX39,0.6070651677218645,0.24010586456114344,0.13576755836543217,0.14120258011634104,0.01960556829253038,0.06558885305910618,-0.046377694723226275,0.04237709404638823,0.47318292721519173,0.5268170727848083,"Providing design specification to suppliers in line with environmental requirements (e.g. green purchasing, black list of raw materials)"
ENVRTX23,0.6327378090947288,-0.05878597621637978,0.06610285141110019,0.17169321714269567,0.08338460968207022,-0.15210882032516632,0.21283741452955057,-0.15294069302282218,0.5364417807936668,0.4635582192063332,"Environmental improvements in the disposition of your organization’s scrap or excess material (re-use, recycling, etc.)"
ENVRTX18,0.5340939568029014,0.41295619052964666,0.05012381216927052,0.13994030603474772,0.20602497018337637,0.031182975349884894,-0.010652713336334685,-0.031051609450630124,0.5223812048312497,0.4776187951687503,Working with customers to help them achieve environmental objectives
ENVRTX13,0.4616250169189983,0.3022214345395401,-0.02281439027801987,0.13398399337496303,0.1926584179394096,-0.05685132332128486,0.09745897323338412,-0.213588500019923,0.41837529639582655,0.5816247036041735,Complying with a customer’s supplier code of conduct
ENVRTX33,0.27256920063618234,0.6260369558802578,0.16811085813705645,0.018248232646573805,-0.02039110180973218,0.09672870104274013,0.02463323866284375,0.010227646590596148,0.5052941377218017,0.49470586227819835,Starting or maintaining a formal M/WBE supplier purchase program
